Time	Name	Label	Building	Floor	System	RPM	FMF	Ball	Vane	Gear	ISO10816_code	Model_HealthScore	Model_FailureMode	Channel_X	Channel_Y	Channel_Z	accRMS_x	accRMS_y	accRMS_z	accRMS	accPEAK_x	accPEAK_y	accPEAK_z	accPEAK	accCREST_x	accCREST_y	accCREST_z	accCREST	accSKEW_x	accSKEW_y	accSKEW_z	accSKEW	accKURT_x	accKURT_y	accKURT_z	accKURT	velRMS_x	velRMS_y	velRMS_z	velRMS	velPEAK_x	velPEAK_y	velPEAK_z	velPEAK	dispRMS_x	dispRMS_y	dispRMS_z	dispRMS	dispP2P_x	dispP2P_y	dispP2P_z	dispP2P	accOA_x	accOA_y	accOA_z	accOA	accMeanPeakFreq_x	accMeanPeakFreq_y	accMeanPeakFreq_z	accMeanPeakFreq	accMeanPeakInt_x	accMeanPeakInt_y	accMeanPeakInt_z	accMeanPeakInt	accWeightedMeanFreq_x	accWeightedMeanFreq_y	accWeightedMeanFreq_z	accWeightedMeanFreq	accTOP1FREQ_x	accTOP1FREQ_V_x	accTOP2FREQ_x	accTOP2FREQ_V_x	accTOP3FREQ_x	accTOP3FREQ_V_x	accTOP4FREQ_x	accTOP4FREQ_V_x	accTOP5FREQ_x	accTOP5FREQ_V_x	accTOP1FREQ_y	accTOP1FREQ_V_y	accTOP2FREQ_y	accTOP2FREQ_V_y	accTOP3FREQ_y	accTOP3FREQ_V_y	accTOP4FREQ_y	accTOP4FREQ_V_y	accTOP5FREQ_y	accTOP5FREQ_V_y	accTOP1FREQ_z	accTOP1FREQ_V_z	accTOP2FREQ_z	accTOP2FREQ_V_z	accTOP3FREQ_z	accTOP3FREQ_V_z	accTOP4FREQ_z	accTOP4FREQ_V_z	accTOP5FREQ_z	accTOP5FREQ_V_z	accH01FREQ_V_x	accH02FREQ_V_x	accH03FREQ_V_x	accH04FREQ_V_x	accH05FREQ_V_x	accH06FREQ_V_x	accH07FREQ_V_x	accH08FREQ_V_x	accH09FREQ_V_x	accH10FREQ_V_x	accH11FREQ_V_x	accH12FREQ_V_x	accH13FREQ_V_x	accH14FREQ_V_x	accH15FREQ_V_x	accH16FREQ_V_x	accH17FREQ_V_x	accH18FREQ_V_x	accH19FREQ_V_x	accH20FREQ_V_x	accH21FREQ_V_x	accH22FREQ_V_x	accH23FREQ_V_x	accH24FREQ_V_x	accH25FREQ_V_x	accH26FREQ_V_x	accH27FREQ_V_x	accH28FREQ_V_x	accH29FREQ_V_x	accH30FREQ_V_x	accH01FREQ_V_y	accH02FREQ_V_y	accH03FREQ_V_y	accH04FREQ_V_y	accH05FREQ_V_y	accH06FREQ_V_y	accH07FREQ_V_y	accH08FREQ_V_y	accH09FREQ_V_y	accH10FREQ_V_y	accH11FREQ_V_y	accH12FREQ_V_y	accH13FREQ_V_y	accH14FREQ_V_y	accH15FREQ_V_y	accH16FREQ_V_y	accH17FREQ_V_y	accH18FREQ_V_y	accH19FREQ_V_y	accH20FREQ_V_y	accH21FREQ_V_y	accH22FREQ_V_y	accH23FREQ_V_y	accH24FREQ_V_y	accH25FREQ_V_y	accH26FREQ_V_y	accH27FREQ_V_y	accH28FREQ_V_y	accH29FREQ_V_y	accH30FREQ_V_y	accH01FREQ_V_z	accH02FREQ_V_z	accH03FREQ_V_z	accH04FREQ_V_z	accH05FREQ_V_z	accH06FREQ_V_z	accH07FREQ_V_z	accH08FREQ_V_z	accH09FREQ_V_z	accH10FREQ_V_z	accH11FREQ_V_z	accH12FREQ_V_z	accH13FREQ_V_z	accH14FREQ_V_z	accH15FREQ_V_z	accH16FREQ_V_z	accH17FREQ_V_z	accH18FREQ_V_z	accH19FREQ_V_z	accH20FREQ_V_z	accH21FREQ_V_z	accH22FREQ_V_z	accH23FREQ_V_z	accH24FREQ_V_z	accH25FREQ_V_z	accH26FREQ_V_z	accH27FREQ_V_z	accH28FREQ_V_z	accH29FREQ_V_z	accH30FREQ_V_z	velOA_x	velOA_y	velOA_z	velOA	iso10816_x	iso10816_y	iso10816_z	iso10816	HealthScore	FailureMode1_ConfidenceLevel	FailureMode2_ConfidenceLevel	FailureMode3_ConfidenceLevel	FailureMode4_ConfidenceLevel	FailureMode5_ConfidenceLevel	FailureMode6_ConfidenceLevel	FailureMode7_ConfidenceLevel	FailureMode8_ConfidenceLevel	FailureMode1_Similarity	FailureMode2_Similarity	FailureMode3_Similarity	FailureMode4_Similarity	FailureMode5_Similarity	FailureMode6_Similarity	FailureMode7_Similarity	FailureMode8_Similarity	tempMAX	tempAVG	tempMIN
2026/7/1 14:58	ZP 3-5_M1	FACCIMTAB.ZONE1_K12_CHS|K12_BF_CHS_ZP350_INV_I	K12	B2F	冰水	1775	29.58	0	0	0	2	2025.1205.0	2025.0619.0	4	5	6	0.056216	0.150508	0.112577	0.196179	0.261558	0.753515	0.483869	0.799412	4.652732	5.006478	4.298116	4.074911	0.042459	0.016161	-0.013742	1.024581	3.152588	3.369873	2.867888	4.526193	0.119264	0.379194	0.215077	0.451963	0.547857	1.587195	0.95576	1.720851	0.000643	0.001612	0.000996	0.002001	0.004582	0.013184	0.007213	0.007912	27.103292	72.563626	54.276247	126.15991	160.7	66.3	89.3	64.4	153.61	1274.47	1281.99	290.02	276.5	218.2	210.6	245.6	160.7	3.399856	80.6	2.505449	195	2.169891	34.7	1.652385	119.4	1.641587	64.2	10.057648	35.8	5.203472	89.7	5.113945	160.7	4.69908	206.4	3.297331	89.9	10.360019	138.5	5.152232	55.7	3.327188	163.6	2.233195	195	1.484689	41	30.6	56.2	48.3	24.4	64.1	28.5	26.6	20	10.2	13.2	7.9	14.2	9.8	7.3	8.5	6.7	6.8	7.5	4.6	8.3	6.2	11	3.9	5.9	5.3	3.6	5.1	3.7	5.1	35.8	72.7	77.4	14.9	24.4	21.6	32.8	11.4	6.9	4	6.7	8.5	3.1	3.3	7.7	2.9	2.5	3.5	6.9	2.3	2.5	5.2	2.7	2.1	4.9	2.8	1.7	2.6	4.4	3.1	10.3	26.2	100	19.9	14.6	16.7	8.7	8.2	3.5	2.9	3.4	3.9	2.8	2.2	3.4	2	2.1	2.2	2.7	1.6	1.6	2.9	2.4	1.8	2.2	1.5	1.4	1.6	1.9	1.3	0.068857	0.218928	0.124175	0.335839	1	1	1	1	94.31	0	0	0	0.03	0.01	0.96	0	0	0.32	0.52	0.37	0.7	0.64	0.89	0.47	0.34	38.04347826	37.57294686	37.07729469
2026/7/1 15:12	ZP 3-5_M1	FACCIMTAB.ZONE1_K12_CHS|K12_BF_CHS_ZP350_INV_I	K12	B2F	冰水	1775	29.58	0	0	0	2	2025.1205.0	2025.0619.0	4	5	6	0.055549	0.148248	0.110442	0.19303	0.233553	0.753515	0.379172	0.799412	4.20445	5.0828	3.433223	4.141387	0.017768	0.02405	0.008617	1.004564	3.156495	3.358988	2.866885	4.400735	0.115946	0.37575	0.214429	0.447897	0.547279	1.587195	0.957065	1.66718	0.000624	0.001614	0.000987	0.001992	0.004578	0.013184	0.007036	0.007912	26.78164	71.474227	53.2471	124.147067	151.7	71.7	93.6	41.6	166.75	1239.75	1109.14	285.58	277.2	219.5	213.3	246.3	168.7	4.261744	80.1	2.272383	195.5	1.774637	120.5	1.758625	29.5	1.403755	64.2	9.495021	89.5	8.232339	159.1	4.751697	35.8	4.674099	206.7	3.694634	89.5	9.850034	135.4	6.105663	60.3	3.095221	168.7	2.524701	34.4	1.549535	32.9	24	38.4	41.3	23.3	59.9	25.4	19.7	14.9	9.4	13.6	6.1	10.2	8.3	7.8	6.9	4.7	6.6	5.5	4.5	8.6	3.8	6.2	4	3.8	4.1	2.8	5	3.9	4.8	35.2	82.5	86.7	15	20	18.9	38.9	12.4	9.2	4.6	5.5	7.4	4.2	3.8	7.1	3.3	2.1	3.9	6.3	3	2.5	4.9	2.3	2.7	4.4	2.7	1.6	2.8	4.3	2.9	12	31.4	100	27.8	19.8	20	9.4	8.6	5.3	3.7	2.8	4.5	3.9	2.8	2.6	2.5	2.3	2.6	3	2.5	2	2.8	1.8	1.7	2	1.6	1.4	1.8	1.8	1.6	0.066941	0.21694	0.1238	0.332422	1	1	1	1	93.18	0	0	0	0.05	0.01	0.94	0	0	0.31	0.48	0.36	0.67	0.59	0.88	0.48	0.32	38.04347826	37.5821256	37.07729469
2026/7/1 15:40	ZP 3-5_M1	FACCIMTAB.ZONE1_K12_CHS|K12_BF_CHS_ZP350_INV_I	K12	B2F	冰水	1775	29.58	0	0	0	2	2025.1205.0	2025.0619.0	4	5	6	0.056312	0.14999	0.11172	0.195319	0.253572	0.728781	0.380837	0.792055	4.502983	4.858864	3.408852	4.055187	0.020564	0.020847	0.017405	1.004197	3.090587	3.306385	2.89562	4.407272	0.113876	0.380417	0.213092	0.450659	0.481558	1.72491	0.957065	1.799054	0.000605	0.001621	0.00096	0.001979	0.004359	0.015143	0.006972	0.008608	27.149575	72.31387	53.863322	125.637084	160.2	70.5	99.1	50.7	178.75	1342.08	886.52	315.9	275.9	215.6	211	244.7	168.2	4.655205	70.3	2.385156	196	1.922987	29.7	1.841493	139	1.834664	75.8	9.516697	48.7	5.322004	158.9	4.682409	207.1	3.268365	103.3	2.498862	89.2	9.079246	139	5.567565	55.7	3.73882	168.2	2.141879	196	1.544343	39.6	26.8	31.2	27	18.6	47.5	22.8	28.7	15.3	6.6	11.3	6	9.4	8.1	6.4	6.3	4.8	6.6	5.6	3.8	7	3.8	6.7	2.4	3.4	4.4	2.3	4.4	3.1	4	23.8	90	66.7	14.6	18.3	30	34.3	11.7	6.7	4.6	6.6	7.8	3.7	3.3	6.9	3.5	2.6	3.4	5.8	2.2	2.3	4.7	2.7	2	5.1	2.6	1.6	2.8	4.6	4.1	12.6	31.6	100	26.7	20.9	20	10.6	10.5	5.1	3.3	3.9	4.4	3.7	3.1	3.2	2.5	2.5	2.8	3	2.7	2	2.8	1.9	2.4	2.2	1.9	1.7	1.7	2.1	1.8	0.065746	0.219634	0.123029	0.33531	1	1	1	1	93.84	0	0	0	0.09	0	0.9	0	0	0.42	0.58	0.48	0.76	0.62	0.9	0.51	0.37	38.04347826	37.63236715	37.07729469
2026/7/1 19:09	ZP 3-5_M1	FACCIMTAB.ZONE1_K12_CHS|K12_BF_CHS_ZP350_INV_I	K12	B2F	冰水	1775	29.58	0	0	0	2	2025.1205.0	2025.0619.0	4	5	6	0.056735	0.151586	0.131604	0.208607	0.270673	0.715821	0.456624	0.820229	4.770829	4.72221	3.469682	3.931934	-0.043933	-0.032555	-0.016202	0.978898	3.083676	3.312468	2.818553	4.581518	0.118208	0.380795	0.233186	0.461902	0.591287	1.638142	1.028271	1.764361	0.000625	0.001635	0.001008	0.00202	0.004447	0.014092	0.007574	0.007649	27.35341	73.083415	63.449735	134.60191	157.9	67.3	124.8	39	178.18	1287.78	1798.02	259.65	275.1	217.3	206.4	244.8	169	3.317696	76.7	2.634277	195.1	1.812797	134.2	1.55592	34.7	1.524302	55.1	8.457383	81.7	7.480458	158.3	4.009732	205.9	3.509191	107.5	2.597243	138.6	15.111628	89.8	8.958976	62.3	3.81824	169.2	1.945936	36.4	1.770058	41.4	32.4	55.4	39.6	32	84.8	29.2	38.4	18.6	9.6	18.2	9.4	12	11.7	8.1	10.6	6.1	10.3	6.6	5.3	10.1	4.3	7.8	4	4.9	6.9	3.6	5.3	4.2	5.2	30.8	87.9	77.7	19.2	24.5	26.4	41.5	13.8	12.7	5.6	6.4	9.6	5.2	4.8	8.1	6.4	3.4	4.9	6.5	3.2	3	5.7	2.9	2.9	5.4	3.3	1.9	3.2	4.9	2.8	5.6	23.9	59.3	21.7	18.2	11	6.1	6.9	3.2	2.1	2.1	3.3	2	1.8	2	1.6	1.5	1.7	2.1	1.2	1.4	1.2	1.2	1.2	1.5	1.2	1.2	1.2	1.4	0.9	0.068247	0.219852	0.13463	0.344781	1	1	1	1	94.54	0	0	0	0.11	0.02	0.86	0.01	0.01	0.29	0.48	0.34	0.67	0.59	0.86	0.5	0.31	38.04347826	37.99951691	37.56038647
2026/7/1 19:56	ZP 3-5_M1	FACCIMTAB.ZONE1_K12_CHS|K12_BF_CHS_ZP350_INV_I	K12	B2F	冰水	1775	29.58	0	0	0	2	2025.1205.0	2025.0619.0	4	5	6	0.05476	0.146026	0.126552	0.200843	0.254851	0.772217	0.473737	0.786652	4.653963	5.288216	3.743418	3.916751	-0.040651	-0.013635	0.010308	0.918389	3.167732	3.290554	2.77024	4.198223	0.11723	0.363484	0.230569	0.446123	0.627602	1.685159	1.012321	1.784369	0.000637	0.00156	0.001024	0.001972	0.004364	0.012491	0.007692	0.007232	26.401375	70.403109	61.013951	129.670515	169.7	69.1	102.1	73	159.97	1300.52	1681.54	235.49	276.9	217	207	244.8	170.9	3.289149	81.6	2.728321	196.1	1.528323	29.5	1.502145	139.4	1.494869	63	8.722932	91	6.766225	37	4.265624	156.3	4.201927	206.8	3.292695	91	9.906175	134.6	9.873279	61.8	3.137636	159.6	2.528985	35.5	1.594947	45.7	35.2	38.9	39.8	24.4	71.4	29.2	30.5	25.7	10.5	17.2	9.7	11.7	12.8	9.9	8.8	4.7	8.7	8.5	5.5	10.8	4.6	7.4	4.9	5.1	6.9	4	5.7	4.7	4.7	37	92.2	77.6	16.2	25.9	28.7	37.7	17.1	10.2	5.1	4.2	8.4	4.9	3.9	8.3	3.9	2.1	4.7	4.6	3.4	2.8	4.6	2.4	3.8	5.7	2.8	1.9	2.9	4.7	3.9	9.9	31.7	100	38.5	19.9	16.2	7.9	8.9	4.6	3.1	3	4.9	2.6	3	3.2	2.1	2.1	2.8	3.3	2.1	2.3	2	1.6	1.8	2.2	1.9	1.6	1.6	1.9	1.6	0.067683	0.209858	0.133119	0.333293	1	1	1	1	92.87	0	0	0	0.1	0.01	0.87	0.01	0.01	0.36	0.52	0.42	0.71	0.58	0.87	0.52	0.37	38.04347826	37.94396135	37.56038647
2026/7/1 20:51	ZP 3-5_M1	FACCIMTAB.ZONE1_K12_CHS|K12_BF_CHS_ZP350_INV_I	K12	B2F	冰水	1775	29.58	0	0	0	2	2025.1205.0	2025.0619.0	4	5	6	0.058803	0.154174	0.117304	0.202454	0.262531	0.700827	0.467801	0.756043	4.464585	4.545689	3.987937	3.734394	-0.004952	-0.023087	0.05846	1.10504	3.294662	3.434075	3.072709	4.793834	0.121811	0.384842	0.221348	0.460366	0.576322	1.736296	1.092288	1.852115	0.000675	0.00168	0.000985	0.002061	0.004699	0.013385	0.007264	0.007601	28.350371	74.331039	56.555184	130.028114	160.6	71.4	97.6	74.2	188.43	1494.39	1320.01	301.97	273.9	216.6	206	243	168.7	3.312947	78.5	2.438407	195.2	1.879868	30.8	1.75074	138.4	1.639544	60.7	9.541796	90	6.301962	35.5	4.527964	158.5	3.949132	205.1	3.592801	89.3	10.677292	134.3	7.193113	60.7	3.071859	161	3.063019	34.3	1.536056	52.8	42.3	43.6	39.5	24.6	76.2	33.5	26.3	18.9	10.3	12.9	7.9	10.1	10.5	7.1	8.4	8.1	7.8	6.8	5.2	9.2	5	7.7	5	4.6	5.9	4.3	6.7	4.2	5.4	31.2	100	66	14.7	17.3	28.6	37.7	10.1	8.1	4.4	5.7	8.3	3.4	3.1	6.7	3.3	2.6	4.7	5	2.5	2.4	5.3	2.3	2	4.6	2.6	1.4	2.4	4.6	2.6	12.2	28.8	100	29.9	18.4	16.4	8.5	6.3	4.2	2.8	3	4.3	2.2	2.8	3.3	2.2	1.8	2.3	2.4	1.5	1.8	1.9	2	1.5	1.5	1.3	1.3	1.5	1.8	1.4	0.070328	0.222189	0.127796	0.341725	1	1	1	1	94.67	0	0	0	0.11	0.01	0.86	0.01	0.01	0.4	0.58	0.46	0.75	0.6	0.89	0.54	0.38	38.04347826	37.92608696	37.56038647
2026/7/1 20:52	ZP 3-5_M1	FACCIMTAB.ZONE1_K12_CHS|K12_BF_CHS_ZP350_INV_I	K12	B2F	冰水	1775	29.58	0	0	0	2	2025.1205.0	2025.0619.0	4	5	6	0.058932	0.153193	0.118262	0.202304	0.262531	0.70307	0.464542	0.757718	4.454812	4.589439	3.928075	3.745443	-0.02338	-0.003494	0.027195	1.081819	3.281745	3.368941	3.075208	4.695849	0.121379	0.383249	0.220544	0.458533	0.576322	1.820952	1.08814	1.873796	0.000665	0.001686	0.000982	0.002061	0.004603	0.013385	0.007208	0.007601	28.412771	73.858129	57.017152	129.955752	168	72.2	101	50.5	212.79	1305.69	1442.4	299.81	273.4	217.8	205.5	244.3	169.5	3.698999	79.4	2.861916	195.2	2.20243	119.6	1.682066	30.8	1.477612	60.7	11.326986	90	7.811533	158.6	4.538341	195.9	3.398724	35.5	3.231994	89.4	11.258961	134.2	6.266943	60.7	3.784605	161	2.902756	33.8	1.460135	39.9	37.7	35.8	45.5	25.9	59.9	27	26.5	15.6	9.8	14.3	7.6	13.4	10.6	7.7	6.6	6.6	7.4	5.5	5.4	7.4	3.9	7.4	3.5	3.9	5.8	3.4	5.3	3.3	5	27.2	100	69	13.6	14.3	25.1	29.4	10.6	9.3	3.6	7	6.5	3.3	2.7	6.3	2.5	2.1	4	5.1	2	2	4.5	2	1.7	3.7	2.3	1.5	2.1	3.8	2.4	11.1	33.6	100	29.9	19.3	16.1	8	8.4	3.4	2.5	2.8	4	2.1	2.7	3.4	2.2	1.8	2	2	1.5	1.9	1.9	1.4	1.5	1.7	1.3	1.3	1.6	1.9	1.4	0.070078	0.221269	0.127331	0.340453	1	1	1	1	95.91	0	0	0	0.05	0	0.95	0	0	0.34	0.55	0.41	0.72	0.57	0.89	0.5	0.37	38.04347826	37.91111111	37.56038647
