Time	Name	Label	Building	Floor	System	RPM	FMF	Ball	Vane	Gear	ISO10816_code	Model_HealthScore	Model_FailureMode	Channel_X	Channel_Y	Channel_Z	accRMS_x	accRMS_y	accRMS_z	accRMS	accPEAK_x	accPEAK_y	accPEAK_z	accPEAK	accCREST_x	accCREST_y	accCREST_z	accCREST	accSKEW_x	accSKEW_y	accSKEW_z	accSKEW	accKURT_x	accKURT_y	accKURT_z	accKURT	velRMS_x	velRMS_y	velRMS_z	velRMS	velPEAK_x	velPEAK_y	velPEAK_z	velPEAK	dispRMS_x	dispRMS_y	dispRMS_z	dispRMS	dispP2P_x	dispP2P_y	dispP2P_z	dispP2P	accOA_x	accOA_y	accOA_z	accOA	accMeanPeakFreq_x	accMeanPeakFreq_y	accMeanPeakFreq_z	accMeanPeakFreq	accMeanPeakInt_x	accMeanPeakInt_y	accMeanPeakInt_z	accMeanPeakInt	accWeightedMeanFreq_x	accWeightedMeanFreq_y	accWeightedMeanFreq_z	accWeightedMeanFreq	accTOP1FREQ_x	accTOP1FREQ_V_x	accTOP2FREQ_x	accTOP2FREQ_V_x	accTOP3FREQ_x	accTOP3FREQ_V_x	accTOP4FREQ_x	accTOP4FREQ_V_x	accTOP5FREQ_x	accTOP5FREQ_V_x	accTOP1FREQ_y	accTOP1FREQ_V_y	accTOP2FREQ_y	accTOP2FREQ_V_y	accTOP3FREQ_y	accTOP3FREQ_V_y	accTOP4FREQ_y	accTOP4FREQ_V_y	accTOP5FREQ_y	accTOP5FREQ_V_y	accTOP1FREQ_z	accTOP1FREQ_V_z	accTOP2FREQ_z	accTOP2FREQ_V_z	accTOP3FREQ_z	accTOP3FREQ_V_z	accTOP4FREQ_z	accTOP4FREQ_V_z	accTOP5FREQ_z	accTOP5FREQ_V_z	accH01FREQ_V_x	accH02FREQ_V_x	accH03FREQ_V_x	accH04FREQ_V_x	accH05FREQ_V_x	accH06FREQ_V_x	accH07FREQ_V_x	accH08FREQ_V_x	accH09FREQ_V_x	accH10FREQ_V_x	accH11FREQ_V_x	accH12FREQ_V_x	accH13FREQ_V_x	accH14FREQ_V_x	accH15FREQ_V_x	accH16FREQ_V_x	accH17FREQ_V_x	accH18FREQ_V_x	accH19FREQ_V_x	accH20FREQ_V_x	accH21FREQ_V_x	accH22FREQ_V_x	accH23FREQ_V_x	accH24FREQ_V_x	accH25FREQ_V_x	accH26FREQ_V_x	accH27FREQ_V_x	accH28FREQ_V_x	accH29FREQ_V_x	accH30FREQ_V_x	accH01FREQ_V_y	accH02FREQ_V_y	accH03FREQ_V_y	accH04FREQ_V_y	accH05FREQ_V_y	accH06FREQ_V_y	accH07FREQ_V_y	accH08FREQ_V_y	accH09FREQ_V_y	accH10FREQ_V_y	accH11FREQ_V_y	accH12FREQ_V_y	accH13FREQ_V_y	accH14FREQ_V_y	accH15FREQ_V_y	accH16FREQ_V_y	accH17FREQ_V_y	accH18FREQ_V_y	accH19FREQ_V_y	accH20FREQ_V_y	accH21FREQ_V_y	accH22FREQ_V_y	accH23FREQ_V_y	accH24FREQ_V_y	accH25FREQ_V_y	accH26FREQ_V_y	accH27FREQ_V_y	accH28FREQ_V_y	accH29FREQ_V_y	accH30FREQ_V_y	accH01FREQ_V_z	accH02FREQ_V_z	accH03FREQ_V_z	accH04FREQ_V_z	accH05FREQ_V_z	accH06FREQ_V_z	accH07FREQ_V_z	accH08FREQ_V_z	accH09FREQ_V_z	accH10FREQ_V_z	accH11FREQ_V_z	accH12FREQ_V_z	accH13FREQ_V_z	accH14FREQ_V_z	accH15FREQ_V_z	accH16FREQ_V_z	accH17FREQ_V_z	accH18FREQ_V_z	accH19FREQ_V_z	accH20FREQ_V_z	accH21FREQ_V_z	accH22FREQ_V_z	accH23FREQ_V_z	accH24FREQ_V_z	accH25FREQ_V_z	accH26FREQ_V_z	accH27FREQ_V_z	accH28FREQ_V_z	accH29FREQ_V_z	accH30FREQ_V_z	velOA_x	velOA_y	velOA_z	velOA	iso10816_x	iso10816_y	iso10816_z	iso10816	HealthScore	FailureMode1_ConfidenceLevel	FailureMode2_ConfidenceLevel	FailureMode3_ConfidenceLevel	FailureMode4_ConfidenceLevel	FailureMode5_ConfidenceLevel	FailureMode6_ConfidenceLevel	FailureMode7_ConfidenceLevel	FailureMode8_ConfidenceLevel	FailureMode1_Similarity	FailureMode2_Similarity	FailureMode3_Similarity	FailureMode4_Similarity	FailureMode5_Similarity	FailureMode6_Similarity	FailureMode7_Similarity	FailureMode8_Similarity	tempMAX	tempAVG	tempMIN
2026/6/30 00:02	CP 10_M1	nan	K12	B2F	冰水	1175	19.58	0	0	0	2	nan	nan	4	5	6	0.396585	0.633946	0.235369	0.783942	1.512716	2.470781	0.835211	2.696506	3.814355	3.897463	3.548517	3.439675	0.008013	-0.001039	0.028292	0.793158	2.941133	2.875258	2.782303	3.697755	0.29934	0.531333	0.301273	0.680209	1.211134	2.295672	1.344448	2.389432	0.001351	0.002136	0.001158	0.00278	0.009137	0.017172	0.008528	0.009537	191.203797	305.641524	113.477516	508.576259	474.8	423	158.2	352.7	13472.04	47346.93	5841.48	4228.25	438.3	403.2	361	470	625.3	41.692605	463.5	35.306297	402	26.661952	138.9	26.594387	657.2	20.135481	351.6	85.74185	463.5	72.449877	270.9	24.917402	386.1	23.030464	138.9	22.199925	138.9	38.354959	351.6	27.561424	625.3	12.477911	38.9	8.906053	402	8.130479	4.4	11.9	7	13.8	5.4	22.3	63.8	21.1	10.3	15.6	18.7	20.5	6.2	8.2	3.7	7.1	4.7	35	6.5	38.5	6.3	29.5	16.7	50	13.6	7.9	5	5.4	7.2	7.6	2.6	8.9	7.6	8.6	4	9.7	25.9	4.2	4.4	5.3	3.3	10.3	11	29.1	4.6	11	8.1	100	15.2	14.9	4.3	12.1	14.6	46	11.1	6.3	3.2	3.8	4.4	4	3.6	23.2	8.8	15.9	8.3	22.2	100	18.9	5.4	5.1	6.8	6.7	4.9	9.3	2.9	3.9	6.8	71.9	10.7	14.3	2.6	8.9	4.6	12.6	6.1	3	1.5	3.5	2.9	2.2	0.172824	0.306765	0.17394	0.51914	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.60386473	50.56908213	50.12077295
2026/6/30 00:12	CP 10_M1	nan	K12	B2F	冰水	1175	19.58	0	0	0	2	nan	nan	4	5	6	0.381535	0.612319	0.236932	0.759368	1.507741	2.290496	0.831714	2.304146	3.951776	3.740691	3.510349	3.034294	-0.011838	0.032414	0.020185	0.731136	2.938981	2.756748	2.771073	3.496033	0.298339	0.523714	0.303637	0.67489	1.27855	2.770547	1.230077	2.778155	0.001282	0.002069	0.001131	0.002684	0.008795	0.016352	0.008874	0.008436	183.94771	295.21472	114.231108	493.882104	459.6	414.3	138.4	362.7	9009.63	35972.65	5693.64	3495.3	435.1	401.2	359.2	470.9	463.7	33.869507	625.2	21.691965	402	21.051785	657.4	18.027993	139.2	16.827944	351.9	68.419298	463.7	61.742704	270.8	21.957926	385.8	18.050842	641.1	16.021077	139.2	26.155686	351.9	20.445508	480.3	7.919398	625.2	6.59673	402	6.553269	4.6	10.6	7	19.7	5.7	26.5	49.7	30.6	13.6	22.4	20.3	28.1	8.5	11.9	3.8	13.4	6.8	28.4	11.8	27.2	10.6	31.7	21.7	55.6	16.2	9.9	3.7	6.6	5.8	10.1	4	11.9	10.3	11.4	4.7	10.1	22.1	5.2	5.5	6.4	4.9	11.5	17.7	32.1	6.2	19.6	11.4	100	19.1	12.6	6.2	15.8	16.7	53.3	19.9	8	3.1	4.1	5.1	3.8	5.4	21.4	12.8	18.8	10.1	30.7	100	23.1	8.7	7.5	6.9	9	6.3	13.4	4.2	6.9	8.4	78.2	15.5	10.7	3.5	11.3	7.9	17	7.6	4.2	2.2	2.9	4.8	3	0.172246	0.302366	0.175305	0.515349	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.60386473	50.55507246	50.12077295
2026/6/30 00:23	CP 10_M1	nan	K12	B2F	冰水	1175	19.58	0	0	0	2	nan	nan	4	5	6	0.398811	0.62534	0.246102	0.781452	1.59342	2.445999	0.830652	2.490292	3.995426	3.911471	3.375235	3.18675	-0.026302	0.000845	0.027508	0.726527	2.927217	2.780122	2.728874	3.510748	0.310133	0.532424	0.315927	0.692437	1.330793	2.323916	1.43682	2.345139	0.001312	0.002041	0.001171	0.002695	0.009535	0.016773	0.007993	0.009146	192.27691	301.492583	118.652263	508.092286	531.6	403.4	138.8	468.8	13226.18	49304.39	7723.48	4316.61	433.2	400.9	359	469.3	463.5	36.645749	625.7	31.179346	402.2	25.311998	138.9	22.160527	657.2	21.872883	463.5	74.56362	351.3	66.006046	271.1	21.759226	138.9	20.313367	70.3	20.290686	138.9	36.733874	351.3	21.654257	625.7	9.300251	463.5	8.34378	38.9	8.001172	6.8	13.6	6.2	16.5	5.2	43.2	60.5	25.1	10.5	24.5	25.8	43	8	10.2	3.5	8.6	8.3	26.2	11.3	15.2	6.4	30.9	22.9	54.1	13.7	9.1	4	7.8	6.3	12.5	2.9	10.3	11.9	11.2	5.1	14	27.2	5.9	5.9	6.4	4.7	9.7	18	29.2	5.4	14.8	24.2	88.5	17.9	8.1	4.9	13	15.5	58	9.4	12.3	2.9	4.3	4.2	4.8	5.3	21.8	12.3	12.2	7	23.7	100	17.5	7.3	5.4	5.7	9.8	5.8	6.9	3.3	4.5	15.1	58.9	11.1	4.8	3.6	7.4	5.8	10.5	5.5	3.3	2.2	2.5	3.2	2.1	0.179056	0.307395	0.182401	0.529256	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.60386473	50.53768116	50.12077295
2026/6/30 00:33	CP 10_M1	nan	K12	B2F	冰水	1175	19.58	0	0	0	2	nan	nan	4	5	6	0.392313	0.618976	0.242995	0.772067	1.515489	2.427775	0.909786	2.455255	3.862959	3.922244	3.744052	3.180106	0.020363	0.014011	0.016848	0.815983	2.97024	2.887197	2.761743	3.80321	0.307405	0.518417	0.310513	0.677992	1.398232	2.595507	1.49589	2.836814	0.001396	0.002009	0.001172	0.002712	0.009355	0.016087	0.008768	0.009434	189.144453	298.424335	117.154317	501.51103	482.7	392.7	138.8	458.9	11236.32	42511.87	7342.84	4265.34	433.1	401.7	358.7	470.7	402.6	38.16454	463.8	33.473861	626.1	30.201833	138.8	28.815804	658.1	18.618366	352	70.535718	463.8	70.215823	402.6	33.104329	138.8	23.203974	271.4	19.630642	138.8	42.344608	352	22.339657	402.6	12.360385	626.1	9.607613	38.8	8.675111	5.8	12.8	8.4	18.7	4.1	22.8	75.5	24.7	12.7	21	21.7	19.7	8	10.4	3.6	10.8	6.2	25.4	12.1	62.7	7.3	27.1	22.5	55	10.1	11.7	4	9.7	7.1	7.4	3.5	9.9	15.6	10.8	5	12.2	32.9	5.1	6.7	4.8	4.9	12	15.8	27.8	8.4	16.4	15	100	16.3	29	5.6	13.7	19.9	59.1	12.6	9.7	4.2	5.3	4.7	4.6	3.6	20.5	8.6	11.4	7.9	20.9	100	19.3	7.1	4.9	4.3	7.4	4.1	6.2	3.1	3.6	8.6	52.8	8.6	18.8	3	6.7	5.2	10.1	2.8	2.7	1.4	2.7	2.5	2.4	0.17748	0.299308	0.179275	0.518344	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.60386473	50.48502415	50.12077295
